@relation cycleaccident-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute year {2011,2012,2013,2014,2015}
@attribute location {notatjunction,atjunction}
@attribute settlement {urban,village,rural}
@attribute time {nighttime,daytime}
@attribute road {straightandflat,curvedandinclined}
@attribute partner {car,hgv,bus,motorcycle,pickup,bicycle,other}
@attribute surface {tarredwithpotholes,untarred,tarredandgood}
@attribute day {weekend,weekday}
@attribute weather {clear,other}
@attribute shoulder {good,poor,noshoulder}
@attribute separation {median,nomedian}
@attribute control {signage,none}
@attribute collision {sideswipe,rightangle,parkedvehicle,hitpedestrian,rearend,hitobjectoffrd,other,animal,headon,ranoffroad}
@attribute accident {fatal,hospitalized,injured,damage}

@data
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredandgood,weekday,clear,poor,nomedian,none,hitpedestrian,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,hgv,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,atjunction,village,daytime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
2011,notatjunction,urban,nighttime,straightandflat,bus,tarredandgood,weekday,clear,noshoulder,nomedian,none,rearend,fatal
